areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2022-06-14,36
K02000001,United Kingdom,overview,2022-06-13,41
K02000001,United Kingdom,overview,2022-06-12,43
K02000001,United Kingdom,overview,2022-06-11,33
K02000001,United Kingdom,overview,2022-06-10,45
K02000001,United Kingdom,overview,2022-06-09,27
K02000001,United Kingdom,overview,2022-06-08,43
K02000001,United Kingdom,overview,2022-06-07,33
K02000001,United Kingdom,overview,2022-06-06,43
K02000001,United Kingdom,overview,2022-06-05,30
K02000001,United Kingdom,overview,2022-06-04,39
K02000001,United Kingdom,overview,2022-06-03,28
K02000001,United Kingdom,overview,2022-06-02,48
K02000001,United Kingdom,overview,2022-06-01,26
K02000001,United Kingdom,overview,2022-05-31,51
K02000001,United Kingdom,overview,2022-05-30,51
K02000001,United Kingdom,overview,2022-05-29,30
K02000001,United Kingdom,overview,2022-05-28,34
K02000001,United Kingdom,overview,2022-05-27,45
K02000001,United Kingdom,overview,2022-05-26,45
K02000001,United Kingdom,overview,2022-05-25,34
K02000001,United Kingdom,overview,2022-05-24,51
K02000001,United Kingdom,overview,2022-05-23,63
K02000001,United Kingdom,overview,2022-05-22,59
K02000001,United Kingdom,overview,2022-05-21,49
K02000001,United Kingdom,overview,2022-05-20,72
K02000001,United Kingdom,overview,2022-05-19,46
K02000001,United Kingdom,overview,2022-05-18,46
K02000001,United Kingdom,overview,2022-05-17,72
K02000001,United Kingdom,overview,2022-05-16,66
K02000001,United Kingdom,overview,2022-05-15,73
K02000001,United Kingdom,overview,2022-05-14,66
K02000001,United Kingdom,overview,2022-05-13,72
K02000001,United Kingdom,overview,2022-05-12,70
K02000001,United Kingdom,overview,2022-05-11,80
K02000001,United Kingdom,overview,2022-05-10,101
K02000001,United Kingdom,overview,2022-05-09,83
K02000001,United Kingdom,overview,2022-05-08,85
K02000001,United Kingdom,overview,2022-05-07,103
K02000001,United Kingdom,overview,2022-05-06,98
K02000001,United Kingdom,overview,2022-05-05,87
K02000001,United Kingdom,overview,2022-05-04,90
K02000001,United Kingdom,overview,2022-05-03,107
K02000001,United Kingdom,overview,2022-05-02,110
K02000001,United Kingdom,overview,2022-05-01,114
K02000001,United Kingdom,overview,2022-04-30,107
K02000001,United Kingdom,overview,2022-04-29,108
K02000001,United Kingdom,overview,2022-04-28,130
